Thornglint Bridge,"['self enter W battlefield tap .', 'indestruct', '{ W } : add { g } W { w } .']"
Carry Away,"['enchant equip', 'W self enter W battlefield , unattach enchant equip .', 'W control enchant equip .']"
Surprise Deployment,"['cast W spell W W combat .', 'W may put W non-whit creatur card W W hand onto W battlefield . W W begin W W next end step , return W creatur W W hand .']"
Skyshroud Ranger,['{ W } : W may put W land card W W hand onto W battlefield . activ W W W sorceri .']
Trenching Steed,['sacrific W land : self get +0/+3 W end W turn .']
Repel the Vile,"['choos one —', '• exil target creatur W power 4 W greater .', '• exil target enchant .']"
Tooth of Ramos,"['{ W } : add { w } .', 'sacrific self : add { w } .']"
Temple Altisaur,"['W W sourc would deal damag W anoth dinosaur W control , prevent W W 1 W W damag .']"
Gibbering Kami,"['fli', 'soulshift 3']"
Surrakar Spellblade,"['whenev W cast W instant W sorceri spell , W may put W charg counter W self .', 'whenev self deal combat damag W W player , W may draw x card , W x W W number W charg counter W W .']"
Disappearing Act,"[""W W addit cost W cast W spell , return W perman W control W W owner 's hand ."", 'counter target spell .']"
Mad Ratter,"['whenev W draw W second card W turn , creat two 1/1 black rat creatur token .']"
Gather the Pack,"['reveal W top five card W W librari . W may put W creatur card W among W W W hand . put W rest W W graveyard .', 'spell masteri — W W W two W W instant and/or sorceri card W W graveyard , put W W two creatur card W among W reveal card W W hand instead W one .']"
Battletide Alchemist,"['W W sourc would deal damag W W player , W may prevent x W W damag , W x W W number W cleric W control .']"
Lone Rider // It That Rides as One,[]
Slagwoods Bridge,"['self enter W battlefield tap .', 'indestruct', '{ W } : add { r } W { g } .']"
Burning Sands,"[""whenev W creatur die , W creatur 's control sacrific W land .""]"
Chain of Silence,"[""prevent W damag target creatur would deal W turn . W creatur 's control may sacrific W land . W W player W , W may copi W spell W may choos W new target W W copi .""]"
Collected Conjuring,['exil W top six card W W librari . W may cast W W two sorceri spell W mana valu 3 W less W among W without pay W mana cost . put W exil card W cast W way W W bottom W W librari W W random order .']
Nezumi Prowler,"['ninjutsu { 1 } { b }', 'W self enter W battlefield , target creatur W control gain deathtouch W lifelink W end W turn .']"
Justice,"['W W begin W W upkeep , sacrific self unless W pay { w } { w } .', ""whenev W red creatur W spell deal damag , self deal W much damag W W creatur 's W spell 's control .""]"
Selesnya Sagittars,"['reach', 'self W block W addit creatur W combat .']"
Wandermare,"['whenev W cast W creatur spell W W W adventur , put W +1/+1 counter W self .']"
Red Scarab,"['enchant creatur', ""enchant creatur ca n't W block W red creatur ."", 'enchant creatur get +2/+2 W long W W oppon control W red perman .']"
Flamekin Spitfire,['{ 3 } { r } : self deal 1 damag W W target .']
Flitterstep Eidolon,"['bestow { 5 } { u }', ""self ca n't W block ."", ""enchant creatur get +1/+1 W ca n't W block .""]"
"Syr Faren, the Hengehammer","[""whenev self attack , anoth target attack creatur get +x/+x W end W turn , W x W self 's power .""]"
Caravan Vigil,"['search W librari W W basic land card , reveal W , put W W W hand , W shuffl .', 'morbid — W may put W card onto W battlefield instead W put W W W hand W W creatur die W turn .']"
Dawn of Hope,"['whenev W gain life , W may pay { 2 } . W W W , draw W card .', '{ 3 } { w } : creat W 1/1 white soldier creatur token W lifelink .']"
Ogre Jailbreaker,"['defend', ""self W attack W though W W n't W defend W long W W control W gate .""]"
Loch Dragon,"['fli', 'whenev self enter W battlefield W attack , W may discard W card . W W W , draw W card .']"
Meng Huo's Horde,[]
Grafted Exoskeleton,"['equip creatur get +2/+2 W W infect .', 'whenev self becom unattach W W perman , sacrific W perman .', 'equip { 2 }']"
Dragon Mask,"[""{ 3 } , { W } : target creatur W control get +2/+2 W end W turn . return W W W owner 's hand W W begin W W next end step .""]"
Aether Tide,"['W W addit cost W cast W spell , discard x creatur card .', ""return x target creatur W W owner ' hand .""]"
Assassin's Strike,['destroy target creatur . W control discard W card .']
Arcane Infusion,"['look W W top four card W W librari . W may reveal W instant W sorceri card W among W W put W W W hand . put W rest W W bottom W W librari W W random order .', 'flashback { 3 } { u } { r }']"
Windwright Mage,"['lifelink', 'self W fli W long W W artifact card W W W graveyard .']"
Hero of the Games,"['whenev W cast W spell W target self , creatur W control get +1/+0 W end W turn .']"
Dimir Charm,"['choos one —', '• counter target sorceri spell .', '• destroy target creatur W power 2 W less .', ""• look W W top three card W target player 's librari . put one back W W rest W W player 's graveyard .""]"
Dwarven Bloodboiler,['tap W untap dwarf W control : target creatur get +2/+0 W end W turn .']
Saving Grace,"['flash', 'enchant creatur W control', 'W self enter W battlefield , W damag W would W dealt W turn W W W perman W control W dealt W enchant creatur instead .', 'enchant creatur get +0/+3 .']"
Nyxborn Seaguard,[]
Grave Consequences,"['W player may exil W number W card W W graveyard . W W player lose 1 life W W card W W graveyard .', 'draw W card .']"
Soul Barrier,"['whenev W oppon cast W creatur spell , self deal 2 damag W W player unless W pay { 2 } .']"
Glowrider,['non-creatur spell cost { 1 } W W cast .']
Soulcatchers' Aerie,"['whenev W bird W put W W graveyard W W battlefield , put W feather counter W self .', 'bird creatur get +1/+1 W W feather counter W self .']"
Give // Take,[]
An-Havva Township,"['{ W } : add { c } .', '{ 1 } , { W } : add { g } .', '{ 2 } , { W } : add { r } W { w } .']"
Rushwood Herbalist,"['{ g } , { W } , discard W card : regener target creatur .']"
Knockout Blow,"['W spell cost { 2 } less W cast W W target W red creatur .', 'self deal 4 damag W target attack W block creatur W W gain 2 life .']"
Secrets of the Key,"['investig . W W spell W cast W W graveyard , investig twice instead .', 'flashback { 3 } { u }']"
Spirit Cairn,"['whenev W player discard W card , W may pay { w } . W W W , creat W 1/1 white spirit creatur token W fli .']"
Shrine of Piercing Vision,"['W W begin W W upkeep W whenev W cast W blue spell , put W charg counter W self .', '{ W } , sacrific self : look W W top x card W W librari , W x W W number W charg counter W self . put one W W card W W hand W W rest W W bottom W W librari W W order .']"
Coastal Hornclaw,['sacrific W land : self gain fli W end W turn .']
Wingsteed Rider,"['fli', 'heroic — whenev W cast W spell W target self , put W +1/+1 counter W self .']"
Fate Forgotten,['exil target artifact W enchant .']
Longtusk Cub,"['whenev self deal combat damag W W player , W get { e } { e } .', 'pay { e } { e } : put W +1/+1 counter W self .']"
Wei Ambush Force,"['whenev self attack , W get +2/+0 W end W turn .']"
Ondu War Cleric,"['cohort — { W } , tap W untap alli W control : W gain 2 life .']"
Fists of the Demigod,"['enchant creatur', 'W long W enchant creatur W black , W get +1/+1 W W wither .', 'W long W enchant creatur W red , W get +1/+1 W W first strike .']"
Breathless Knight,"['fli , lifelink', 'whenev self W anoth creatur enter W battlefield W W control , W W creatur enter W W graveyard W W cast W W W graveyard , put W +1/+1 counter W self .']"
The Antiquities War,"['', 'W , ii — look W W top five card W W librari . W may reveal W artifact card W among W W put W W W hand . put W rest W W bottom W W librari W W random order .', 'iii — artifact W control becom artifact creatur W base power W tough 5/5 W end W turn .']"
Mischievous Catgeist // Catlike Curiosity,[]
Wei Assassins,"['W self enter W battlefield , target oppon choos W creatur W control . destroy W creatur .']"
Niblis of Frost,"['fli', 'prowess', ""whenev W cast W instant W sorceri spell , tap target creatur W oppon control . W creatur W n't untap W W control 's next untap step .""]"
Blinding Spray,"['creatur W oppon control get -4/-0 W end W turn .', 'draw W card .']"
Bring Low,"['self deal 3 damag W target creatur . W W creatur W W +1/+1 counter W W , self deal 5 damag W W instead .']"
Dread,"['fear', 'whenev W creatur deal damag W W , destroy W .', ""W self W put W W graveyard W anywher , shuffl W W W owner 's librari .""]"
Righteous Blow,['self deal 2 damag W target attack W block creatur .']
Vermiculos,"['whenev W artifact enter W battlefield , self get +4/+4 W end W turn .']"
Apothecary Initiate,"['whenev W player cast W white spell , W may pay { 1 } . W W W , W gain 1 life .']"
Stormscape Master,"['{ w } { w } , { W } : target creatur gain protect W W color W W choic W end W turn .', '{ b } { b } , { W } : target player lose 2 life W W gain 2 life .']"
Silent Skimmer,"['devoid', 'fli', 'whenev self attack , defend player lose 2 life .']"
Curse of Fool's Wisdom,"['enchant player', 'whenev enchant player draw W card , W lose 2 life W W gain 2 life .', 'mad { 3 } { b }']"
Dead Ringers,"[""destroy two target non-black creatur unless either one W W color W W W n't . W ca n't W regener .""]"
Ashcoat Bear,['flash']
Citywatch Sphinx,"['fli', 'W self die , surveil 2 .']"
Burning Vengeance,"['whenev W cast W spell W W graveyard , self deal 2 damag W W target .']"
Thelon's Curse,"[""blue creatur W n't untap W W control ' untap step ."", ""W W begin W W player 's upkeep , W player may choos W number W tap blue creatur W control W pay { u } W W creatur chosen W way . W W player W , untap W creatur .""]"
Font of Agonies,"['whenev W pay life , put W mani blood counter W self .', '{ 1 } { b } , remov four blood counter W self : destroy target creatur .']"
Protect // Serve,[]
Lore Seeker,"['reveal self W W draft W . W W draft self , W may add W booster pack W W draft .']"
Dauntless Dourbark,"[""self 's power W tough W W equal W W number W forest W control plu W number W treefolk W control ."", 'self W trampl W long W W control anoth treefolk .']"
"Kitt Kanto, Mayhem Diva","['W self enter W battlefield , creat W 1/1 green W white citizen creatur token .', ""W W begin W combat W W player 's turn , W may tap two untap creatur W control . W W W , target creatur W player control get +2/+2 W gain trampl W end W turn . goad W creatur .""]"
Teferi's Response,"[""counter target spell W abil W oppon control W target W land W control . W W perman 's abil W counter W way , destroy W perman ."", 'draw two card .']"
Goblin Patrol,['echo { r }']
Tek,"['self get +0/+2 W long W W control W plain , W fli W long W W control W island , get +2/+0 W long W W control W swamp , W first strike W long W W control W mountain , W W trampl W long W W control W forest .']"
Mournful Zombie,"['{ w } , { W } : target player gain 1 life .']"
Moggcatcher,"['{ 3 } , { W } : search W librari W W goblin perman card , put W onto W battlefield , W shuffl .']"
Solidarity of Heroes,"['strive — W spell cost { 1 } { g } W W cast W W target beyond W first .', 'choos W number W target creatur . doubl W number W +1/+1 counter W W W W .']"
Temporal Machinations,"[""return target creatur W W owner 's hand . W W control W artifact , draw W card .""]"
Wild Hunger,"['target creatur get +3/+1 W gain trampl W end W turn .', 'flashback { 3 } { r }']"
Terra Eternal,['W land W indestruct .']
Anointed Deacon,"['W W begin W combat W W turn , W may W target vampir get +2/+0 W end W turn .']"
Komainu Battle Armor,"['menac', 'equip creatur get +2/+2 W W menac .', 'whenev self W equip creatur deal combat damag W W player , goad W creatur W player control .', 'reconfigur { 4 }']"
Burrenton Bombardier,"['fli', 'reinforc 2— { 2 } { w }']"
Grenzo's Cutthroat,"['first strike', 'dethron']"
Sunder Shaman,"[""self ca n't W block W W W one creatur ."", 'whenev self deal combat damag W W player , destroy target artifact W enchant W player control .']"
Votary of the Conclave,['{ 2 } { g } : regener self .']
Gone Missing,"[""put target perman W top W W owner 's librari ."", 'investig .']"
Punish Ignorance,['counter target spell . W control lose 3 life W W gain 3 life .']
Oath of the Ancient Wood,"['whenev self W anoth enchant enter W battlefield W W control , W may put W +1/+1 counter W target creatur .']"
Manriki-Gusari,"[""equip creatur get +1/+2 W W `` { W } : destroy target equip . ''"", 'equip { 1 }']"
Silverglade Pathfinder,"['{ 1 } { g } , { W } , discard W card : search W librari W W basic land card , put W card onto W battlefield tap , W shuffl .']"
Cloudcrest Lake,"['{ W } : add { c } .', ""{ W } : add { w } W { u } . self W n't untap W W next untap step .""]"
Blind Zealot,"['intimid', 'whenev self deal combat damag W W player , W may sacrific W . W W W , destroy target creatur W player control .']"
Collision // Colossus,[]
Ifh-Bíff Efreet,"['fli', '{ g } : self deal 1 damag W W creatur W fli W W player . W player may activ W abil .']"
Stormfront Pegasus,['fli']
Din of the Fireherd,"['creat W 5/5 black W red element creatur token . target oppon sacrific W creatur W W black creatur W control , W sacrific W land W W red creatur W control .']"
Pyromancer's Gauntlet,"['W W red instant W sorceri spell W control W W red planeswalk W control would deal damag W W perman W player , W deal W much damag plu 2 W W perman W player instead .']"
Harness by Force,"['strive — W spell cost { 2 } { r } W W cast W W target beyond W first .', 'gain control W W number W target creatur W end W turn . untap W creatur . W gain hast W end W turn .']"
Peer Through Depths,['look W W top five card W W librari . W may reveal W instant W sorceri card W among W W put W W W hand . put W rest W W bottom W W librari W W order .']
Veiled Crocodile,"['W W player W W card W hand , W self W W enchant , self becom W 4/4 crocodil creatur .']"
Hornet Sting,['self deal 1 damag W W target .']
Runed Stalactite,"['equip creatur get +1/+1 W W everi creatur type .', 'equip { 2 }']"
Tomb Hex,"['target creatur get -2/-2 W end W turn .', 'landfal — W W W W land enter W battlefield W W control W turn , W creatur get -4/-4 W end W turn instead .']"
Favor of the Overbeing,"['enchant creatur', 'W long W enchant creatur W green , W get +1/+1 W W vigil .', 'W long W enchant creatur W blue , W get +1/+1 W W fli .']"
Keeper of the Flame,"['{ r } , { W } : choos target oppon W W W life W W W W W activ W abil . self deal 2 damag W W player .']"
Crypt Champion,"['doubl strike', 'W self enter W battlefield , W player put W creatur card W mana valu 3 W less W W graveyard onto W battlefield .', 'W self enter W battlefield , sacrific W unless { r } W spent W cast W .']"
Goldvein Pick,"['equip creatur get +1/+1 .', 'whenev equip creatur deal combat damag W W player , creat W treasur token .', 'equip { 1 }']"
Rubblebelt Rioters,"['hast', 'whenev self attack , W get +x/+0 W end W turn , W x W W greatest power among creatur W control .']"
Sunrise Sovereign,['W giant creatur W control get +2/+2 W W trampl .']
Barge In,['target attack creatur get +2/+2 W end W turn . W attack non-human creatur gain trampl W end W turn .']
Pitchstone Wall,"['defend', 'whenev W discard W card , W may sacrific self . W W W , return W discard card W W graveyard W W hand .']"
Needlethorn Drake,"['fli , deathtouch']"
Stasis Snare,"['flash', 'W self enter W battlefield , exil target creatur W oppon control W self leav W battlefield .']"
Maelstrom Djinn,"['fli', 'morph { 2 } { u }', 'W self W turn face W , put two time counter W W W W gain vanish .']"
Alpha Status,"['enchant creatur', 'enchant creatur get +2/+2 W W W creatur W W battlefield W share W creatur type W W .']"
Sphinx of the Second Sun,"['fli', 'W W begin W W postcombat main phase , W W W addit begin phase W W phase .']"
Stromkirk Noble,"[""self ca n't W block W human ."", 'whenev self deal combat damag W W player , put W +1/+1 counter W W .']"
Macabre Mockery,"[""put target creatur card W W oppon 's graveyard onto W battlefield W W control . W get +2/+0 W gain hast W end W turn . sacrific W W W begin W W next end step .""]"
Veteran's Sidearm,"['equip creatur get +1/+1 .', 'equip { 1 }']"
Darksteel Pendant,"['indestruct', '{ 1 } , { W } : scri 1 .']"
Eye of Yawgmoth,"[""{ 3 } , { W } , sacrific W creatur : reveal W number W card W W top W W librari equal W W sacrif creatur 's power . put one W W hand W exil W rest .""]"
Raid Bombardment,"['whenev W creatur W control W power 2 W less attack , self deal 1 damag W W player W planeswalk W creatur W attack .']"
Selesnya Sentry,['{ 5 } { g } : regener self .']
"Esix, Fractal Bloom","['fli', 'W first time W would creat one W W token W W W W turn , W may instead choos W creatur W W self W creat W mani token W W copi W W creatur .']"
Undead Augur,"['whenev self W anoth zombi W control die , W draw W card W W lose 1 life .']"
Battlefield Medic,"['{ W } : prevent W next x damag W would W dealt W target creatur W turn , W x W W number W cleric W W battlefield .']"
Flourishing Strike,"['choos one —', '• self deal 5 damag W target creatur W fli .', '• target creatur get +3/+3 W end W turn .', 'entwin { 2 } { g }']"
Foundry Helix,"['W W addit cost W cast W spell , sacrific W perman .', 'self deal 4 damag W W target . W W sacrif perman W W artifact , W gain 4 life .']"
Coral Trickster,"['morph { u }', 'W self W turn face W , W may tap W untap target perman .']"
Harm's Way,['W next 2 damag W W sourc W W choic would deal W W and/or perman W control W turn W dealt W W target instead .']
Herald of the Sun,"['fli', '{ 3 } { w } : put W +1/+1 counter W anoth target creatur W fli .']"
Stonebound Mentor,"['whenev one W W card leav W graveyard , scri 1 .']"
Corpse Cur,"['infect', 'W self enter W battlefield , W may return target creatur card W infect W W graveyard W W hand .']"
Omen of Fire,"[""return W island W W owner ' hand . W player sacrific W plain W W white perman W W white perman W control .""]"
Flesh Allergy,"['W W addit cost W cast W spell , sacrific W creatur .', 'destroy target creatur . W control lose life equal W W number W creatur W die W turn .']"
Crawling Filth,"['fear', 'soulshift 5']"
Senseless Rage,"['enchant creatur', 'enchant creatur get +2/+2 .', 'mad { 1 } { r }']"
Rowan's Battleguard,"['first strike', 'W long W W control W rowan planeswalk , self get +3/+0 .']"
Tectonic Fiend,"['echo { 4 } { r } { r }', 'self attack W combat W abl .']"
Akki Rockspeaker,"['W self enter W battlefield , add { r } .']"
Defender of Law,"['flash', 'protect W red']"
Lust for War,"['enchant creatur', ""whenev enchant creatur becom tap , self deal 3 damag W W creatur 's control ."", 'enchant creatur attack W combat W abl .']"
Aetherling,"[""{ u } : exil self . return W W W battlefield W W owner 's control W W begin W W next end step ."", ""{ u } : self ca n't W block W turn ."", '{ 1 } : self get +1/-1 W end W turn .', '{ 1 } : self get -1/+1 W end W turn .']"
Seaside Haven,"['{ W } : add { c } .', '{ w } { u } , { W } , sacrific W bird : draw W card .']"
Undying Beast,"[""W self die , put W W top W W owner 's librari .""]"
